id,name,price,view,city,marka,model,year,type,color,litre,weight,fuel,travel,engine,cat12,cat13
"1569","Opel Astra, 1.4 L, 2005 il, 175 200 km","11 100 AZN","1914","Gəncə","Opel","Astra","2005","Hetçbek / Liftbek","Göy","1.4 L","90 a.g.","Benzin","175 200 km","Mexaniki","Ön","Xeyr"
"1570","Chevrolet Cruze, 1.6 L, 2012 il, 100 000 km","10 500 AZN","2886","Gəncə","Chevrolet","Cruze","2012","Sedan","Ağ","1.6 L","124 a.g.","Benzin","100 000 km","Mexaniki","Ön","Xeyr"
"1571","Mercedes C 250, 1.8 L, 2013 il, 159 000 km","25 000 AZN","3384","Gəncə","Mercedes","C 250","2013","Sedan","Ağ","1.8 L","204 a.g.","Benzin","159 000 km","Avtomat","Arxa","Xeyr"
"1572","Ford Transit, 2.2 L, 2012 il, 195 000 km","18 900 AZN","1548","Gəncə","Ford","Transit","2012","Furqon","Qırmızı","2.2 L","125 a.g.","Dizel","195 000 km","Mexaniki","Ön","Xeyr"
"1573","Nissan Patrol, 5.6 L, 2011 il, 191 000 km","34 900 $","9705","Gəncə","Nissan","Patrol","2011","Offroader / SUV","Ağ","5.6 L","405 a.g.","Benzin","191 000 km","Avtomat","Tam","Xeyr"
"1574","LADA (VAZ) 2107, 1.5 L, 2011 il, 93 000 km","10 700 AZN","9299","Gəncə","LADA (VAZ)","2107","2011","Sedan","Yaş Asfalt","1.5 L","65 a.g.","Benzin","93 000 km","Mexaniki","Ön","Xeyr"
"1575","Mercedes 190, 2.0 L, 1990 il, 253 000 km","6 500 AZN","1954","Gəncə","Mercedes","190","1990","Sedan","Boz","2.0 L","122 a.g.","Benzin","253 000 km","Avtomat","Arxa","Xeyr"
"1576","Mercedes S 500, 4.7 L, 2011 il, 108 000 km","33 500 $","732","Gəncə","Mercedes","S 500","2011","Sedan","Qara","4.7 L","435 a.g.","Benzin","108 000 km","Avtomat","Tam","Xeyr"
"1577","Kia Optima, 1.6 L, 2016 il, 71 000 km","23 000 AZN","1966","Gəncə","Kia","Optima","2016","Sedan","Ağ","1.6 L","178 a.g.","Benzin","71 000 km","Avtomat","Ön","Xeyr"
"1578","Mercedes C 180, 1.8 L, 1996 il, 27 000 km","9 200 AZN","997","Gəncə","Mercedes","C 180","1996","Sedan","Boz","1.8 L","122 a.g.","Benzin","27 000 km","Avtomat","Arxa","Xeyr"
"1579","Mercedes C 180, 1.8 L, 1998 il, 250 000 km","9 500 AZN","921","Gəncə","Mercedes","C 180","1998","Universal","Qara","1.8 L","122 a.g.","Benzin","250 000 km","Avtomat","Arxa","Xeyr"
"1580","Mercedes E 200, 2.0 L, 2001 il, 323 000 km","15 700 AZN","839","Gəncə","Mercedes","E 200","2001","Sedan","Gümüşü","2.0 L","163 a.g.","Benzin","323 000 km","Avtomat","Arxa","Xeyr"
"1581","Mercedes C 240, 2.4 L, 2000 il, 258 066 km","11 500 AZN","564","Gəncə","Mercedes","C 240","2000","Sedan","Gümüşü","2.4 L","170 a.g.","Benzin","258 066 km","Avtomat","Arxa","Xeyr"
"1582","Hyundai Sonata, 2.4 L, 2008 il, 140 000 km","16 000 AZN","615","Gəncə","Hyundai","Sonata","2008","Sedan","Qızılı","2.4 L","178 a.g.","Benzin","140 000 km","Avtomat","Arxa","Xeyr"
"1583","LADA (VAZ) 2107, 1.7 L, 2008 il, 350 000 km","7 000 AZN","570","Gəncə","LADA (VAZ)","2107","2008","Sedan","Ağ","1.7 L","80 a.g.","Benzin","350 000 km","Mexaniki","Arxa","Xeyr"
"1584","Ford Fusion, 2.0 L, 2014 il, 180 285 km","22 000 AZN","824","Gəncə","Ford","Fusion","2014","Sedan","Ağ","2.0 L","240 a.g.","Benzin","180 285 km","Avtomat","Tam","Xeyr"
"1585","LADA (VAZ) Niva, 1.7 L, 2005 il, 245 000 km","7 000 AZN","1102","Gəncə","LADA (VAZ)","Niva","2005","Offroader / SUV","Ağ","1.7 L","80 a.g.","Benzin","245 000 km","Mexaniki","Tam","Xeyr"
